DEPARTAME_NOMBRE,MUNICIPIO_NOMBRE,TotalPersonasSencibilizadas,COD DANE INST EDUC,MUNICIPIO_COD,FECHA DE CARGUE,ID INDICADOR,INVERSION_TOTAL,FECHA VIGENCIA,META_NACIONAL
TOLIMA,FLANDES,19,173275000428,73275,2016-12-31,3979,1682304.93,2016-12-31,48000
TOLIMA,IBAGUE,41,173001003684,73001,2015-12-31,3101,3043725.71,2015-12-31,34000
VALLE DEL CAUCA,CARTAGO,95,176147000236,76147,2016-12-31,3979,8411524.68,2016-12-31,48000
HUILA,HOBO,5,141349000108,41349,2015-12-31,3101,371186.06,2015-12-31,34000
MAGDALENA,PIVIJAY,18,247551000392,47551,2015-12-31,3101,1336269.82,2015-12-31,34000
CESAR,EL PASO,22,120250000052,20250,2015-12-31,3101,1633218.67,2015-12-31,34000
QUINDIO,MONTENEGRO,27,363470000282,63470,2015-12-31,3101,2004404.74,2015-12-31,34000
CALDAS,CHINCHINA,13,217174000432,17174,2016-12-31,3979,1151050.74,2016-12-31,48000
BOYACA,SANTA ROSA DE VITERBO,25,115693000035,15693,2016-12-31,3979,2213559.12,2016-12-31,48000
NORTE DE SANTANDER,LOS PATIOS,1,254874000363,54405,2015-12-31,3101,74237.21,2015-12-31,34000
BOGOTA,"BOGOTA, D.C.",18,311001036217,11001,2016-12-31,3979,1593762.57,2016-12-31,48000
ATLANTICO,SOLEDAD,17,308758001061,8758,2015-12-31,3101,1262032.61,2015-12-31,34000
CESAR,VALLEDUPAR,21,120001000603,20001,2014-12-31,2344,2485625.76,2014-12-31,18300
CESAR,VALLEDUPAR,27,120001000077,20001,2016-12-31,3979,2390643.85,2016-12-31,48000
BOYACA,TOGSI,98,315816000191,15816,2016-12-31,3979,8677151.77,2016-12-31,48000
LA GUAJIRA,RIOHACHA,28,344001005171,44001,2014-12-31,2344,3314167.68,2014-12-31,18300
CALDAS,MANIZALES,81,117001006198,17001,2016-12-31,3979,7171931.57,2016-12-31,48000
CAQUETA,SAN VICENTE DEL CAGUAN,5,283753001338,18753,2016-12-31,3979,442711.82,2016-12-31,48000
CAUCA,PIENDAMO,6,219548000060,19548,2015-12-31,3101,445423.27,2015-12-31,34000
CASANARE,TAURAMENA,27,185410000016,85410,2015-12-31,3101,2004404.74,2015-12-31,34000
CHOCO,ISTMINA,27,127361000129,27361,2014-12-31,2344,3195804.55,2014-12-31,18300
CORDOBA,MONTERIA,18,323001006405,23001,2015-12-31,3101,1336269.82,2015-12-31,34000
VALLE DEL CAUCA,PALMIRA,21,176520000527,76520,2015-12-31,3101,1558981.46,2015-12-31,34000
CALDAS,MANIZALES,21,117001002346,17001,2014-12-31,2344,2485625.76,2014-12-31,18300
META,VILLAVICENCIO,38,150001007507,50001,2016-12-31,3979,3364609.87,2016-12-31,48000
BOYACA,PAIPA,37,415516000410,15516,2014-12-31,2344,4379435.86,2014-12-31,18300
META,MAPIRIPAN,35,250325000241,50325,2016-12-31,3979,3098982.77,2016-12-31,48000
ATLANTICO,BARRANQUILLA,8,108001075191,8001,2015-12-31,3101,593897.7,2015-12-31,34000
MAGDALENA,ZONA BANANERA,47,247980001547,47980,2015-12-31,3101,3489148.99,2015-12-31,34000
CUNDINAMARCA,CAJICA,61,225126000091,25126,2015-12-31,3101,4528469.97,2015-12-31,34000
ATLANTICO,BARRANQUILLA,20,108001003017,8001,2016-12-31,3979,1770847.3,2016-12-31,48000
META,MAPIRIPAN,2,250450000392,50325,2016-12-31,3979,177084.73,2016-12-31,48000
